Name,Domain,Google OIDC,Microsoft OIDC,SAML,JIT,SCIM Provisioning,SCIM Deprovisioning,Public Provisioning API,Compatible Google SCIM,Sources
15Five,15five.com,TRUE,UNKNOWN,TRUE,UNKNOWN,TRUE,TRUE,UNKNOWN,TRUE,https://support.google.com/a/topic/10018788
1Password,1password.com,FALSE,FALSE,UPGRADE,FALSE,UPGRADE,UPGRADE,FALSE,FALSE,"https://support.1password.com/sso/, https://blog.1password.com/1password-scim-bridge-explained/"
Adjust,adjust.com,FALSE,FALSE,UPGRADE,UPGRADE,FALSE,FALSE,FALSE,FALSE,"https://help.adjust.com/en/article/sso, https://help.adjust.com/en/article/google"
Adobe,adobe.com,TRUE,TRUE,UPGRADE,UPGRADE,UPGRADE,FALSE,UPGRADE,TRUE,"https://support.google.com/a/topic/10018788, https://helpx.adobe.com/enterprise/using/setup-sso-google.html, https://adobe-apiplatform.github.io/umapi-documentation/en/"
Adyen,adyen.com,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,https://docs.adyen.com/account/single-sign-on/set-up-sso/
Amazon Web Services (AWS),aws.amazon.com,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,TRUE,TRUE,UNKNOWN,TRUE,https://support.google.com/a/topic/10018788
Amplitude,amplitude.com,TRUE,FALSE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,FALSE,"https://amplitude.com/docs/admin/single-sign-on/sso, https://amplitude.com/docs/admin/account-management/scim-provision, https://amplitude.com/docs/apis/analytics/scim"
Asana,asana.com,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,TRUE,TRUE,UNKNOWN,TRUE,https://support.google.com/a/topic/10018788
Asana,asana.com,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,TRUE,TRUE,UNKNOWN,TRUE,https://support.google.com/a/topic/10018788
Ashby,ashbyhq.com,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.ashbyhq.com
Atlassian,atlassian.com,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,TRUE,TRUE,UNKNOWN,TRUE,https://support.google.com/a/topic/10018788
Bonusly,bonus.ly,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,TRUE,TRUE,UNKNOWN,TRUE,https://support.google.com/a/topic/10018788
Boomi,boomi.com,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,TRUE,TRUE,UNKNOWN,TRUE,https://support.google.com/a/topic/10018788
